WKT,id,name,alt_name,latitude,longitude
"POINT (130.2200327 -3.2998382)",81.0,MALUKU,MALUKU,-3.2998382,130.2200327
"POINT (127.97202 0.63012)",82.0,MALUKU UTARA,MALUKU UTARA,0.63012,127.97202
"POINT (132.90253 -1.38424)",91.0,PAPUA BARAT,PAPUA BARAT,-1.38424,132.90253
"POINT (138.0905068 -2.3171657)",94.0,PAPUA,PAPUA,-2.3171657,138.0905068
