WKT,id,name,alt_name,latitude,longitude
"POINT (117.63696 -8.12179)",52.0,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.12179,117.63696
"POINT (120.69786 -8.56568)",53.0,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-8.56568,120.69786
"POINT (111.09689 -0.13224)",61.0,KALIMANTAN BARAT,KALIMANTAN BARAT,-0.13224,111.09689
"POINT (113.29033 -1.49958)",62.0,KALIMANTAN TENGAH,KALIMANTAN TENGAH,-1.49958,113.29033
"POINT (115.37565 -2.94348)",63.0,KALIMANTAN SELATAN,KALIMANTAN SELATAN,-2.94348,115.37565
"POINT (116.242 0.78844)",64.0,KALIMANTAN TIMUR,KALIMANTAN TIMUR,0.78844,116.242
"POINT (116.911 2.72594)",65.0,KALIMANTAN UTARA,KALIMANTAN UTARA,2.72594,116.911
